"date_found","event_title","event_date","start_time","end_time","venue","district","address","category","source_name","source_url","confidence_score","notes"
"2026-09-18","UN UNIVERSO HABITADO","2026-09-18","10:00","","Centro Cultural Inca Garcilaso","Cercado de Lima","Jr. Ucayali 391, Cercado de Lima, Lima, Peru","Exposicion/Pintura","EntradaLibre","https://entradalibre.me/","0.82","EntradaLibre lo lista para viernes 18; Heptagrama confirma sede y vigencia hasta 01 nov."
"2026-09-18","BIBLIOTECA NACIONAL DEL PERU: 20 ANOS DE LA SEDE PATRIMONIAL","2026-09-18","09:00","","Biblioteca Nacional del Peru","San Borja","Av. De la Poesia 160, San Borja, Lima, Peru","Exposicion/Literatura","EntradaLibre","https://entradalibre.me/","0.86","EntradaLibre lista actividad de BNP para viernes 18 en San Borja."
"2026-09-18","ARTE & SOFTBOL 2026","2026-09-18","09:00","","Miraflores","Miraflores","Miraflores, Lima, Peru","Exposicion/Pintura","EntradaLibre","https://entradalibre.me/","0.72","EntradaLibre lista evento para viernes 18; falta pagina de detalle en esta pasada."
"2026-09-18","POEMAS EN ACUARELA","2026-09-18","09:00","","Casa de Rusia","Jesus Maria","Av. Felipe Salaverry 774, Jesus Maria, Lima, Peru","Exposicion/Pintura","EntradaLibre","https://entradalibre.me/","0.84","EntradaLibre lista muestra; Heptagrama confirma sede Casa de Rusia y vigencia hasta 02 oct."
"2026-09-18","QUITATE TU PA PONERME YO!","2026-09-18","09:00","","Barranco","Barranco","Barranco, Lima, Peru","Exposicion/Fotografia","EntradaLibre","https://entradalibre.me/","0.73","EntradaLibre lista evento para viernes 18 en Barranco; direccion no visible en la captura."
"2026-09-18","POKE BROSS","2026-09-18","12:00","","Cercado de Lima","Cercado de Lima","Cercado de Lima, Lima, Peru","Cultura/Feria","EntradaLibre","https://entradalibre.me/event/pop-up-espero/","0.73","Aparece como relacionado vigente en EntradaLibre para viernes 18."
"2026-09-18","RETRO MARCIANA","2026-09-18","15:00","","San Borja","San Borja","San Borja, Lima, Peru","Cultura/Feria","EntradaLibre","https://entradalibre.me/event/pop-up-espero/","0.73","Aparece como relacionado vigente en EntradaLibre para viernes 18."
"2026-09-18","POP UP ESPERO","2026-09-18","17:00","","Barranco","Barranco","Barranco, Lima, Peru","Diseno/Feria","EntradaLibre","https://entradalibre.me/event/hola-fest-9/","0.75","Evento relacionado en EntradaLibre para viernes 18."
"2026-09-18","OTTO FEST","2026-09-18","12:00","","Jesus Maria","Jesus Maria","Jesus Maria, Lima, Peru","Festival/Musica","EntradaLibre","https://entradalibre.me/event/otto-fest/","0.76","EntradaLibre lo lista como festival musical del viernes 18."
"2026-09-18","CUMBRE PERU SOSTENIBLE 2026","2026-09-24","09:00","","Parque de Exposiciones Magdalena del Mar","Magdalena del Mar","Magdalena del Mar, Lima, Peru","Sostenibilidad/Feria","EntradaLibre","https://entradalibre.me/cumbre-peru-sostenible-2026/","0.9","EntradaLibre indica encuentro del 24 al 26 de septiembre con especialistas, empresas y publico general."
"2026-09-18","CASA WARNER BROS. EXPERIENCIA INMERSIVA","2026-09-18","11:00","22:00","Explanada del Centro Comercial Plaza Norte","Independencia","Av. Alfredo Mendiola 1400, cruce con Av. Tomas Valle, Independencia, Lima, Peru","Familia/Experiencia inmersiva","Heptagrama","https://heptagrama.com/agenda-cultural-lima.htm","0.94","Agenda Heptagrama del viernes 18; horario y precios publicados."
