date_found,event_title,event_date,start_time,end_time,venue,district,address,category,source_name,source_url,confidence_score,notes
2026-08-27,La forma del ser,2026-08-27,08:00,17:00,Centro Cultural de Ate,Ate,"Carretera Central km 7.5, Ate, Lima, Peru",Exposicion,EntradaLibre,https://entradalibre.me/event/la-forma-del-ser/,0.96,Exposicion gratuita vigente hasta 2026-09-10.
2026-08-27,Museo Numismatico del Peru,2026-08-27,09:00,,Museo Numismatico del Peru,Cercado de Lima,,Museo,EntradaLibre,https://entradalibre.me/event/museo-numismatico-del-peru-2025/,0.82,Listado por EntradaLibre para hoy en Cercado de Lima.
2026-08-27,Jose Tola La danza de las sombras vivas,2026-08-27,09:00,,Museo de Arte Italiano,Rimac,,Exposicion,EntradaLibre,https://entradalibre.me/event/jose-tola-la-danza-de-las-sombras-vivas/,0.84,Listado por EntradaLibre para hoy en Rimac.
2026-08-27,El embrujo cromatico del neoindigenismo de Urbina,2026-08-27,09:00,17:00,Ministerio de Cultura del Peru,San Borja,"Avenida Javier Prado Este 2465, San Borja, Lima, Peru",Exposicion,EntradaLibre,https://entradalibre.me/event/el-embrujo-cromatico-del-neoindigenismo-de-urbina/,0.96,Exposicion gratuita vigente hasta 2026-09-27.
2026-08-27,Causa 2026,2026-08-27,10:00,,Cercado de Lima,Cercado de Lima,,Exposicion,EntradaLibre,https://entradalibre.me/event/causa-2026/,0.78,Evento relacionado visible en EntradaLibre.
2026-08-27,Pausa del sistema 1,2026-08-27,11:00,,Miraflores,Miraflores,,Exposicion,EntradaLibre,https://entradalibre.me/event/pausa-del-sistema-1/,0.78,Evento relacionado visible en EntradaLibre.
2026-08-27,Simbolos patrios despues de la independencia,2026-08-27,10:00,,Cercado de Lima,Cercado de Lima,,Exposicion,EntradaLibre,https://entradalibre.me/event/simbolos-patrios-despues-de-la-independencia/,0.80,Evento relacionado visible en EntradaLibre.
2026-08-27,El coleccionismo de Francisco Stastny,2026-08-27,19:00,,Cercado de Lima,Cercado de Lima,,Conversatorio,EntradaLibre,https://entradalibre.me/event/el-coleccionismo-de-francisco-stastny/,0.80,Evento relacionado visible en EntradaLibre.
2026-08-27,Pertenecer,2026-08-28,11:00,,Barranco,Barranco,,Visita guiada,EntradaLibre,https://entradalibre.me/event/pertenecer/,0.78,Evento relacionado visible para 2026-08-28.
2026-08-27,Flora,2026-08-29,11:00,,Barranco,Barranco,,Exposicion,EntradaLibre,https://entradalibre.me/event/flora/,0.80,Evento relacionado visible para 2026-08-29.
2026-08-27,Estetica mineral,2026-09-03,10:00,,Miraflores,Miraflores,,Fotografia,EntradaLibre,https://entradalibre.me/event/estetica-mineral/,0.80,Evento relacionado visible para 2026-09-03.
2026-08-27,World Monuments Fund Peru Waru Waru,2026-08-27,11:00,,Proyecto Amil,Barranco,"Av. Pedro de Osma 409, Barranco, Lima, Peru",Encuentro,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.90,Agenda cultural lista encuentro gratuito.
2026-08-27,El Principito L Experience,2026-08-27,11:00,19:00,Mall del Sur,San Juan de Miraflores,"Av. Los Lirios y Av. Pedro Miotta, San Juan de Miraflores, Lima, Peru",Experiencia inmersiva,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,Funciones 11 13 15 17 y 19 horas.
2026-08-27,Casa Warner Bros,2026-08-27,11:00,22:00,Explanada Plaza Norte,Independencia,"Av. Alfredo Mendiola 1400, Independencia, Lima, Peru",Experiencia inmersiva,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,Experiencia familiar con ingreso pagado.
2026-08-27,El Peru en la Comision Interamericana de Mujeres,2026-08-27,12:00,,Centro Cultural Inca Garcilaso,Cercado de Lima,"Jr. Ucayali 391, Cercado de Lima, Lima, Peru",Presentacion de libro,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.90,Ingreso libre.
2026-08-27,Airosa La Tarumba,2026-08-27,15:00,,Carpa La Tarumba Cenco Lima Sur,Chorrillos,"Av. Paseo de la Republica 355, Chorrillos, Lima, Peru",Circo,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,Funciones 15 17:30 y 20 horas.
2026-08-27,Cine Club AF Clasicos restaurados franceses,2026-08-27,17:00,,Sala Lumiere Alianza Francesa,Miraflores,"Av. Arequipa 4595, Miraflores, Lima, Peru",Cine,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.90,Programa doble desde las 17 horas.
2026-08-27,Serenata Biblioteca Nacional 205 aniversario,2026-08-27,18:00,,Gran Biblioteca Publica,Cercado de Lima,"Av. Abancay cuadra 4 s/n, Cercado de Lima, Lima, Peru",Musica,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.92,Ingreso libre con iluminacion de fachada.
2026-08-27,Recital musica y poesia LUM,2026-08-27,18:00,,Lugar de la Memoria,Miraflores,"Calle San Martin 151, Miraflores, Lima, Peru",Musica y poesia,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.90,Ingreso libre.
2026-08-27,Panico en el Parque,2026-08-27,18:30,,Centro Cultural San Marcos,Cercado de Lima,"Av. Nicolas de Pierola 1222, Cercado de Lima, Lima, Peru",Cine,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.90,Cine club gratuito.
2026-08-27,Mecanica Nacional,2026-08-27,19:00,,Centro Cultural UCH,Brena,"Av. Bolivia 537, Brena, Lima, Peru",Cine,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,Cine club UCH con ingreso libre.
2026-08-27,La rebelion de los fantasmas,2026-08-27,19:00,,Libreria El Virrey,Miraflores,"Calle Bolognesi 510, Miraflores, Lima, Peru",Presentacion de libro,Heptagrama,https://heptagrama.com/agenda-cultural-lima.htm,0.88,Ingreso libre.
2026-08-27,Futbol Fest X,2026-08-27,,,Deporplaza,Santiago de Surco,,Entretenimiento,Teleticket,https://teleticket.com.pe/todos,0.88,Teleticket lista temporada 2026-08-27 a 2026-08-30.
2026-08-27,Circo de las Estrellas Carlota la Reina del Pop,2026-08-27,,,Parque de las Leyendas Puerta 8,Lima,,Circo,Teleticket,https://teleticket.com.pe/todos,0.88,Teleticket lista temporada 2026-08-27 a 2026-08-30.
2026-08-27,Tour del Miedo Cementerio Presbitero Matias Maestro,2026-08-27,,,Punto de reunion,Lima,,Entretenimiento,Teleticket,https://teleticket.com.pe/todos,0.86,Teleticket lista temporada hasta 2026-12-20.
2026-08-27,Gran Circo de Rusia 2026,2026-08-27,,,Explanada Olguin del Jockey,Santiago de Surco,,Circo,Teleticket,https://teleticket.com.pe/todos,0.88,Teleticket lista temporada 2026-08-27 a 2026-08-30.
2026-08-27,Marco Zunino Mi vida en musicales,2026-08-27,,,Teatro NOS PUCP,San Isidro,,Musica,Teleticket,https://teleticket.com.pe/todos,0.88,Teleticket lista temporada 2026-08-27 a 2026-08-30.
2026-08-27,Sinfonia 360 Michael Jackson,2026-08-27,20:00,,La Cupula de las Artes,Santiago de Surco,"Av. Manuel Olguin 200, Santiago de Surco, Lima, Peru",Musica,Teleticket,https://teleticket.com.pe/todos,0.92,Teleticket lista temporada hasta 2026-09-19.
2026-08-27,Alvaro Diaz en Lima,2026-08-30,,,Multiespacio Costa 21,San Miguel,,Musica,Teleticket,https://teleticket.com.pe/alvaro-diaz-lima-2026,0.92,Evento publicado para Costa 21.
2026-08-27,San Martin el libertador que fundo una biblioteca,2026-08-27,10:00,12:00,Biblioteca Nacional del Peru,San Borja,"Av. De La Poesia 160, San Borja, Lima, Peru",Charla,BNP eventos,https://eventos.bnp.gob.pe/agenda-cultural/charla-conversatorio-yo-conferencia/san-martin-el-libertador-que-fundo-una-biblioteca-6169,0.96,Evento gratuito presencial.
2026-08-27,Escritura creativa para ninas y ninos,2026-08-27,11:30,12:30,Estacion de Biblioteca Publica Rimac,Rimac,"Av. Felipe Arancibia cuadra 2 s/n, Rimac, Lima, Peru",Taller,BNP eventos,https://eventos.bnp.gob.pe/agenda-cultural/taller-yo-curso/escritura-creativa-para-ninas-y-ninos-por-el-dia-de-la-bibli-6180,0.96,Evento gratuito presencial.
2026-08-27,Mi libro cartonero,2026-08-27,15:30,17:00,Estacion de Biblioteca Publica Brena,Brena,"Jr. Aija y Manoa 599, Brena, Lima, Peru",Taller,BNP eventos,https://eventos.bnp.gob.pe/agenda-cultural/taller-yo-curso/mi-libro-cartonero-6181,0.96,Evento gratuito presencial.
2026-08-27,La biblioteca imaginada,2026-08-27,16:00,17:30,Estacion de Biblioteca Publica La Victoria,La Victoria,"Jr. Giribaldi s/n cuadra 11, La Victoria, Lima, Peru",Mediacion de lectura,BNP eventos,https://eventos.bnp.gob.pe/agenda-cultural/mediacion-de-lectura/la-biblioteca-imaginada-hacia-los-205-anos-de-creacion-de-l-6174,0.96,Evento gratuito presencial.
2026-08-27,Luna guardiana de los minerales,2026-08-31,16:00,17:00,Gran Biblioteca Publica de Lima,Cercado de Lima,"Av. Abancay cuadra 4, Cercado de Lima, Lima, Peru",Presentacion de publicacion,BNP eventos,https://eventos.bnp.gob.pe/agenda-cultural/presentacion-de-publicacion/luna-guardiana-de-los-minerales-autora-luna-clarysel-vela-6171,0.96,Evento gratuito presencial.
2026-08-27,Urban Language Exchange Viajero Hostel Barranco,2026-08-27,19:00,,Viajero Hostel Barranco,Barranco,,Intercambio de idiomas,Meetup Lima,https://www.meetup.com/find/pe--lima/english-language/,0.84,Meetup lista evento recurrente de hoy.
2026-08-27,English Conversation Practice,2026-08-29,10:00,,Lima,Lima,,Intercambio de idiomas,Meetup Lima,https://www.meetup.com/find/pe--lima/english-language/,0.82,Meetup lista evento con cupos disponibles.
2026-08-27,Saturday Lets practice English Rustica,2026-08-29,18:00,,Rustica,Lima,,Intercambio de idiomas,Meetup Lima,https://www.meetup.com/find/pe--lima/english-language/,0.82,Meetup lista evento sabatino.
2026-08-27,Coffee walks and art,2026-08-29,16:00,,Lima,Lima,,Caminata cultural,Meetup Lima,https://www.meetup.com/find/pe--lima/english-language/,0.80,Meetup lista caminata cultural pagada.
2026-08-27,Meditacion Sahaja Yoga gratuita,2026-08-29,17:00,,Lima,Lima,,Bienestar,Meetup Lima,https://www.meetup.com/find/pe--lima/english-language/,0.82,Meetup lista evento semanal gratuito.
2026-08-27,Language Exchange International Party Gringo Tuesdays,2026-09-01,17:00,,Lima,Lima,,Intercambio de idiomas,Meetup Lima,https://www.meetup.com/find/pe--lima/english-language/,0.82,Meetup lista evento semanal.
